Data file		PPS_60N_1.TSV
Configuration file		HARI.CFG
Calibration file		KIM_6KG_080419.CAL
Test control file		KIM_NEW2.TSF

test 2		PPS_60N_1
160210		
loriane-		
		
		
		
		
		

Test started at 19:54:05 on 2019-04-12
	Time	This Step	Step Time	Test Time	Sliding Velocity	Speed	Mass	Load	TOTAL REVOLUTIONS	Specimen Temp	Contact Potential	Radius	Distance	Friction Force	Friction Coefficient	Displacement	Friction Force	
	19:54:11	2	1800,	6,	0,000	0	6100	59,841	0	26,4	90,6	14	0,000	-0,3	-0,004507	3969	-0,3	
	19:54:12	2	1800,	7,	0,000	0	6100	59,841	0	26,4	90,6	14	0,000	1,3	0,022537	3970	1,3	
	19:54:13	2	1800,	8,	0,018	16	6100	59,841	4	26,4	90,7	14	0,352	6,2	0,103669	3971	6,2	
	19:54:14	2	1800,	9,	0,072	53	6100	59,841	7	26,4	90,7	14	0,616	9,7	0,162265	3970	9,7	
	19:54:15	2	1800,	10,	0,125	89	6100	59,841	10	26,4	90,7	14	0,880	9,4	0,157758	3970	9,4	
	19:54:16	2	1800,	11,	0,179	125	6100	59,841	13	26,4	90,7	14	1,144	8,9	0,148743	3967	8,9	
	19:54:17	2	1800,	12,	0,230	160	6100	59,841	16	26,4	90,7	14	1,407	8,4	0,139728	3967	8,4	
	19:54:18	2	1800,	13,	0,264	179	6100	59,841	19	26,6	90,7	14	1,671	8,1	0,135221	3965	8,1	
	19:54:19	2	1800,	14,	0,258	176	6100	59,841	21	26,4	90,7	14	1,847	7,8	0,130713	3966	7,8	
	19:54:20	2	1800,	15,	0,255	173	6100	59,841	24	26,4	90,7	14	2,111	7,6	0,126206	3966	7,6	
	19:54:21	2	1800,	16,	0,246	167	6100	59,841	26	26,4	90,7	14	2,287	7,6	0,126206	3966	7,6	
	19:54:22	2	1800,	17,	0,238	161	6100	59,841	29	26,4	90,7	14	2,551	7,3	0,121699	3965	7,3	
	19:54:23	2	1800,	18,	0,227	154	6100	59,841	31	26,4	90,7	14	2,727	7,3	0,121699	3966	7,3	
	19:54:24	2	1800,	19,	0,217	148	6100	59,841	33	26,4	90,7	14	2,903	7,0	0,117191	3966	7,0	
	19:54:25	2	1800,	20,	0,208	141	6100	59,841	35	26,4	90,7	14	3,079	7,0	0,117191	3967	7,0	
	19:54:26	2	1800,	21,	0,199	135	6100	59,841	37	26,4	90,7	14	3,255	7,3	0,121699	3966	7,3	
	19:54:27	2	1800,	22,	0,191	130	6100	59,841	39	26,6	90,7	14	3,431	7,3	0,121699	3966	7,3	
	19:54:28	2	1800,	23,	0,185	125	6100	59,841	41	26,4	90,7	14	3,607	7,0	0,117191	3965	7,0	
	19:54:29	2	1800,	24,	0,179	121	6100	59,841	43	26,4	90,7	14	3,782	7,0	0,117191	3964	7,0	
	19:54:30	2	1800,	25,	0,173	118	6100	59,841	45	26,4	90,7	14	3,958	7,0	0,117191	3963	7,0	
	19:54:31	2	1800,	26,	0,169	115	6100	59,841	47	26,4	90,7	14	4,134	7,3	0,121699	3963	7,3	
	19:54:32	2	1800,	27,	0,166	112	6100	59,841	48	26,4	90,7	14	4,222	7,0	0,117191	3964	7,0	
	19:54:33	2	1800,	28,	0,163	110	6100	59,841	50	26,6	90,7	14	4,398	7,0	0,117191	3966	7,0	
	19:54:34	2	1800,	29,	0,160	109	6100	59,841	52	26,6	90,7	14	4,574	7,0	0,117191	3966	7,0	
	19:54:35	2	1800,	30,	0,157	107	6100	59,841	54	26,6	90,7	14	4,750	7,0	0,117191	3964	7,0	
	19:54:36	2	1800,	31,	0,155	106	6100	59,841	56	26,6	90,7	14	4,926	7,0	0,117191	3963	7,0	
	19:54:37	2	1800,	32,	0,154	105	6100	59,841	57	26,8	90,7	14	5,014	7,0	0,117191	3964	7,0	
	19:54:38	2	1800,	33,	0,154	105	6100	59,841	59	26,8	90,7	14	5,190	7,0	0,117191	3966	7,0	
	19:54:39	2	1800,	34,	0,152	104	6100	59,841	61	26,6	90,7	14	5,366	6,7	0,112684	3964	6,7	
	19:54:40	2	1800,	35,	0,152	104	6100	59,841	62	26,6	90,7	14	5,454	6,7	0,112684	3964	6,7	
	19:54:41	2	1800,	36,	0,151	103	6100	59,841	64	26,6	90,7	14	5,630	6,7	0,112684	3964	6,7	
