Data file		PPS+45PTFE_100N_200RPM_30MINS.TSV
Configuration file		HARI.CFG
Calibration file		KIM_6KG_080419.CAL
Test control file		KIM_NEW2.TSF

test 2		PPS+45PTFE_100N_200RPM_30MINS_1
160210		
loriane-		
		
		
		
		
		

Test started at 17:23:08 on 2019-04-08
	Time	This Step	Step Time	Test Time	Sliding Velocity	Speed	Mass	Load	TOTAL REVOLUTIONS	Specimen Temp	Contact Potential	Radius	Distance	Friction Force	Friction Coefficient	Displacement	Friction Force	
	17:23:14	2	3600,	6,	0,000	0	10000	98,100	0	25,2	90,6	22	0,000	0,0	0,000000	2166	0,0	
	17:23:15	2	3600,	7,	0,000	1	10000	98,100	1	25,2	90,6	22	0,138	3,2	0,032994	2177	3,2	
	17:23:16	2	3600,	8,	0,028	16	10000	98,100	3	25,2	90,6	22	0,415	11,6	0,118228	2195	11,6	
	17:23:17	2	3600,	9,	0,094	43	10000	98,100	5	25,2	90,6	22	0,691	16,7	0,170468	2210	16,7	
	17:23:18	2	3600,	10,	0,143	65	10000	98,100	7	25,2	90,6	22	0,968	17,5	0,178717	2216	17,5	
	17:23:19	2	3600,	11,	0,203	90	10000	98,100	9	25,2	90,7	22	1,244	17,5	0,178717	2214	17,5	
	17:23:20	2	3600,	12,	0,251	111	10000	98,100	11	25,2	90,7	22	1,521	17,3	0,175967	2213	17,3	
	17:23:21	2	3600,	13,	0,276	119	10000	98,100	13	25,2	90,7	22	1,797	17,3	0,175967	2211	17,3	
	17:23:22	2	3600,	14,	0,258	112	10000	98,100	14	25,2	90,6	22	1,935	17,0	0,173218	2213	17,0	
	17:23:23	2	3600,	15,	0,258	111	10000	98,100	16	25,2	90,6	22	2,212	16,7	0,170468	2213	16,7	
	17:23:24	2	3600,	16,	0,244	106	10000	98,100	17	25,2	90,6	22	2,350	16,5	0,167719	2212	16,5	
	17:23:25	2	3600,	17,	0,237	103	10000	98,100	19	25,2	90,6	22	2,626	16,5	0,167719	2212	16,5	
	17:23:26	2	3600,	18,	0,226	98	10000	98,100	20	25,2	90,7	22	2,765	16,2	0,164969	2212	16,2	
	17:23:27	2	3600,	19,	0,217	93	10000	98,100	22	25,2	90,7	22	3,041	15,9	0,162220	2213	15,9	
	17:23:28	2	3600,	20,	0,207	89	10000	98,100	23	25,2	90,7	22	3,179	15,6	0,159470	2212	15,6	
	17:23:29	2	3600,	21,	0,198	85	10000	98,100	24	25,2	90,7	22	3,318	15,6	0,159470	2211	15,6	
	17:23:30	2	3600,	22,	0,189	82	10000	98,100	26	25,2	90,7	22	3,594	15,4	0,156721	2210	15,4	
	17:23:31	2	3600,	23,	0,182	79	10000	98,100	27	25,2	90,7	22	3,732	15,1	0,153971	2209	15,1	
	17:23:32	2	3600,	24,	0,177	77	10000	98,100	28	25,2	90,6	22	3,870	15,1	0,153971	2211	15,1	
	17:23:33	2	3600,	25,	0,173	74	10000	98,100	29	25,2	90,6	22	4,009	15,1	0,153971	2212	15,1	
	17:23:34	2	3600,	26,	0,168	73	10000	98,100	30	25,2	90,6	22	4,147	14,8	0,151222	2209	14,8	
	17:23:35	2	3600,	27,	0,164	71	10000	98,100	31	25,2	90,6	22	4,285	14,8	0,151222	2205	14,8	
	17:23:36	2	3600,	28,	0,161	70	10000	98,100	33	25,2	90,6	22	4,562	14,8	0,151222	2204	14,8	
	17:23:37	2	3600,	29,	0,159	69	10000	98,100	34	25,2	90,6	22	4,700	14,8	0,151222	2206	14,8	
	17:23:38	2	3600,	30,	0,157	68	10000	98,100	35	25,2	90,6	22	4,838	14,8	0,151222	2209	14,8	
	17:23:39	2	3600,	31,	0,157	67	10000	98,100	36	25,2	90,6	22	4,976	14,8	0,151222	2211	14,8	
	17:23:40	2	3600,	32,	0,154	67	10000	98,100	37	25,4	90,6	22	5,115	14,8	0,151222	2211	14,8	
	17:23:41	2	3600,	33,	0,152	66	10000	98,100	38	25,2	90,6	22	5,253	14,8	0,151222	2210	14,8	
	17:23:42	2	3600,	34,	0,152	66	10000	98,100	39	25,2	90,6	22	5,391	14,6	0,148472	2207	14,6	
	17:23:43	2	3600,	35,	0,152	66	10000	98,100	40	25,2	90,6	22	5,529	14,3	0,145723	2205	14,3	
	17:23:44	2	3600,	36,	0,152	66	10000	98,100	41	25,2	90,6	22	5,667	14,6	0,148472	2204	14,6	
